200,253.79,50.758,1
61.697,285.6,17.197,0.98819
71.892,282.98,19.591,0.98717
79.109,281.21,21.234,0.98645
84.197,280,22.361,0.98597
87.825,279.15,23.147,0.98569
90.387,278.56,23.689,0.98552
92.22,278.14,24.072,0.98539
93.535,277.84,24.343,0.98528
94.483,277.63,24.536,0.9852
95.171,277.47,24.675,0.98511
95.661,277.36,24.774,0.98502
96,277.28,24.841,0.98491
96.231,277.23,24.885,0.9848
96.396,277.19,24.917,0.98469
96.524,277.16,24.942,0.98458
96.633,277.14,24.964,0.98447
96.679,277.13,24.972,0.98436
96.739,277.12,24.985,0.98423
96.797,277.1,24.997,0.98411
96.864,277.09,25.013,0.98397
96.802,277.1,24.996,0.98383
96.826,277.1,25.001,0.98369
96.855,277.09,25.008,0.98356
96.9,277.08,25.019,0.98343
96.836,277.09,25.003,0.98329
96.852,277.09,25.006,0.98316
96.878,277.08,25.013,0.98303
96.922,277.07,25.024,0.9829
96.844,277.09,25.004,0.98275
96.856,277.09,25.007,0.98261
96.877,277.08,25.012,0.98248
96.917,277.08,25.022,0.98235
96.847,277.09,25.005,0.98221
96.86,277.09,25.008,0.98208
96.883,277.08,25.014,0.98195
96.925,277.07,25.025,0.98181
96.847,277.09,25.005,0.98167
96.859,277.09,25.007,0.98153
96.879,277.08,25.013,0.9814
96.918,277.08,25.023,0.98127
96.848,277.09,25.005,0.98113
96.861,277.09,25.008,0.98099
96.883,277.08,25.014,0.98086
96.925,277.07,25.024,0.98073
96.848,277.09,25.005,0.98059
96.859,277.09,25.008,0.98045
96.879,277.08,25.013,0.98032
96.918,277.08,25.023,0.98018
96.848,277.09,25.005,0.98004
96.861,277.09,25.008,0.97991
96.883,277.08,25.014,0.97978
96.925,277.07,25.024,0.97965
96.848,277.09,25.005,0.9795
96.859,277.09,25.008,0.97937
96.88,277.08,25.013,0.97923
96.919,277.07,25.023,0.9791
96.848,277.09,25.005,0.97896
96.86,277.09,25.008,0.97883
96.883,277.08,25.014,0.9787
96.925,277.07,25.024,0.97856
96.848,277.09,25.005,0.97842
96.859,277.09,25.008,0.97828
96.88,277.08,25.013,0.97815
96.919,277.07,25.023,0.97802
96.848,277.09,25.005,0.97788
96.86,277.09,25.008,0.97775
96.883,277.08,25.014,0.97762
96.924,277.07,25.024,0.97748
96.848,277.09,25.005,0.97734
96.859,277.09,25.008,0.9772
96.88,277.08,25.013,0.97707
96.919,277.07,25.023,0.97694
96.848,277.09,25.005,0.9768
96.86,277.09,25.008,0.97666
96.883,277.08,25.014,0.97653
96.924,277.07,25.024,0.9764
96.848,277.09,25.005,0.97626
96.859,277.09,25.008,0.97612
96.88,277.08,25.013,0.97599
96.919,277.07,25.023,0.97586
96.848,277.09,25.005,0.97572
96.86,277.09,25.008,0.97558
96.883,277.08,25.014,0.97545
96.924,277.07,25.024,0.97532
96.848,277.09,25.005,0.97518
96.859,277.09,25.008,0.97504
96.88,277.08,25.013,0.97491
96.92,277.07,25.023,0.97477
96.848,277.09,25.005,0.97463
96.86,277.09,25.008,0.9745
96.883,277.08,25.014,0.97437
96.924,277.07,25.024,0.97424
96.848,277.09,25.005,0.97409
96.859,277.09,25.008,0.97396
96.88,277.08,25.013,0.97382
96.92,277.07,25.023,0.97369
96.848,277.09,25.005,0.97355
96.86,277.09,25.008,0.97342
96.882,277.08,25.014,0.97329
96.923,277.07,25.024,0.97315
96.848,277.09,25.005,0.97301
96.859,277.09,25.008,0.97287
96.88,277.08,25.013,0.97274
96.92,277.07,25.023,0.97261
96.848,277.09,25.005,0.97247
96.86,277.09,25.008,0.97234
96.882,277.08,25.014,0.9722
96.923,277.07,25.024,0.97207
96.848,277.09,25.005,0.97193
96.859,277.09,25.008,0.97179
96.88,277.08,25.013,0.97166
96.92,277.07,25.023,0.97153
96.848,277.09,25.005,0.97139
96.86,277.09,25.008,0.97125
96.882,277.08,25.013,0.97112
96.923,277.07,25.024,0.97099
96.848,277.09,25.005,0.97085
96.859,277.09,25.008,0.97071
96.88,277.08,25.013,0.97058
96.92,277.07,25.023,0.97045
96.848,277.09,25.005,0.97031
96.86,277.09,25.008,0.97017
96.882,277.08,25.013,0.97004
96.923,277.07,25.024,0.96991
96.848,277.09,25.005,0.96977
96.859,277.09,25.008,0.96963
96.881,277.08,25.013,0.9695
96.92,277.07,25.023,0.96936
96.848,277.09,25.005,0.96922
96.86,277.09,25.008,0.96909
96.882,277.08,25.013,0.96896
96.923,277.07,25.024,0.96882
96.848,277.09,25.005,0.96868
96.859,277.09,25.008,0.96855
96.881,277.08,25.013,0.96842
96.921,277.07,25.023,0.96828
96.848,277.09,25.005,0.96814
96.86,277.09,25.008,0.96801
96.882,277.08,25.013,0.96788
96.923,277.07,25.024,0.96774
96.848,277.09,25.005,0.9676
96.859,277.09,25.008,0.96747
96.881,277.08,25.013,0.96733
96.921,277.07,25.023,0.9672
96.848,277.09,25.005,0.96706
96.86,277.09,25.008,0.96693
96.882,277.08,25.013,0.96679
96.923,277.07,25.024,0.96666
96.848,277.09,25.005,0.96652
96.859,277.09,25.008,0.96638
96.881,277.08,25.013,0.96625
96.921,277.07,25.023,0.96612
96.848,277.09,25.005,0.96598
96.86,277.09,25.008,0.96584
96.882,277.08,25.013,0.96571
96.923,277.07,25.024,0.96558
96.848,277.09,25.005,0.96544
96.859,277.09,25.008,0.9653
96.881,277.08,25.013,0.96517
96.921,277.07,25.023,0.96504
96.848,277.09,25.005,0.9649
96.86,277.09,25.008,0.96476
96.882,277.08,25.013,0.96463
96.922,277.07,25.024,0.9645
96.848,277.09,25.005,0.96436
96.859,277.09,25.008,0.96422
96.881,277.08,25.013,0.96409
96.921,277.07,25.023,0.96396
96.848,277.09,25.005,0.96381
96.86,277.09,25.008,0.96368
96.882,277.08,25.013,0.96355
96.922,277.07,25.024,0.96342
96.848,277.09,25.005,0.96327
96.859,277.09,25.008,0.96314
96.881,277.08,25.013,0.96301
96.921,277.07,25.023,0.96287
96.848,277.09,25.005,0.96273
96.86,277.09,25.008,0.9626
96.882,277.08,25.013,0.96247
96.922,277.07,25.024,0.96233
96.848,277.09,25.005,0.96219
96.859,277.09,25.008,0.96206
96.881,277.08,25.013,0.96192
96.921,277.07,25.023,0.96179
96.848,277.09,25.005,0.96165
96.86,277.09,25.008,0.96152
96.882,277.08,25.013,0.96138
96.922,277.07,25.024,0.96125
96.848,277.09,25.005,0.96111
96.859,277.09,25.008,0.96097
96.881,277.08,25.013,0.96084
96.921,277.07,25.023,0.96071
96.848,277.09,25.005,0.96057
